date,n_in,heston_in,linhe_in,heston_out,linhe_out
2026-01-07,42,0.0239,0.0239,0.0324,0.0324
2026-01-14,41,0.0553,0.0553,0.2984,0.2984
2026-01-21,41,0.0264,0.0264,0.4072,0.4072
2026-01-28,42,0.0262,0.0262,262.7146,259.4437
2026-02-04,42,0.0704,0.0704,2.2955,2.2955
2026-02-11,42,0.0319,0.0318,125.0834,125.7874
2026-02-18,41,0.0117,0.0116,nan,nan
2026-02-25,41,0.0080,0.0080,0.1468,0.1468
2026-03-04,28,0.0011,0.0011,0.2384,0.2383
2026-03-11,41,0.0039,0.0039,3.2914,3.2914
2026-03-18,42,0.2541,0.2391,1.3753,1.4431
2026-03-25,42,0.0537,0.0537,3.0242,3.0242
2026-04-01,28,0.0405,0.0405,0.0137,0.0137
2026-04-08,42,0.0778,0.0778,0.0711,0.0711
2026-04-15,42,0.0445,0.0393,0.1732,0.1587
2026-04-22,42,0.0426,0.0426,0.2681,0.2677
2026-04-29,42,0.0542,0.0359,0.2527,0.2463
2026-05-06,42,0.0375,0.0359,0.1024,0.0950
2026-05-20,28,0.0433,0.0433,0.3868,0.3868
2026-05-27,42,0.0503,0.0503,0.0822,0.0822
2026-06-03,28,0.0284,0.0239,0.2711,0.2677
2026-06-10,42,0.0501,0.0501,5.9171,5.9171
2026-06-17,42,0.0478,0.0478,0.2344,0.2343
2026-06-24,42,0.0313,0.0313,0.0837,0.0837
2026-07-01,42,0.0233,0.0233,0.2743,0.2743
